id,numericId
AIX EN PROVENCE TGV,0
ANGERS SAINT LAUD,1
ANGOULEME,2
ANNECY,3
ARRAS,4
AVIGNON TGV,5
BELLEGARDE (AIN),6
BESANCON FRANCHE COMTE TGV,7
BORDEAUX ST JEAN,8
BREST,9
CHAMBERY CHALLES LES EAUX,10
DIJON VILLE,11
DOUAI,12
DUNKERQUE,13
GRENOBLE,14
LA ROCHELLE VILLE,15
LAVAL,16
LE CREUSOT MONTCEAU MONTCHANIN,17
LE MANS,18
LILLE,19
LYON PART DIEU,20
MACON LOCHE,21
MARSEILLE ST CHARLES,22
METZ,23
MONTPELLIER,24
MULHOUSE VILLE,25
NANCY,26
NANTES,27
NICE VILLE,28
NIMES,29
PARIS EST,30
PARIS LYON,31
PARIS MONTPARNASSE,32
PARIS NORD,33
PERPIGNAN,34
POITIERS,35
QUIMPER,36
REIMS,37
RENNES,38
SAINT ETIENNE CHATEAUCREUX,39
ST MALO,40
ST PIERRE DES CORPS,41
STRASBOURG,42
TOULON,43
TOULOUSE MATABIAU,44
TOURS,45
VALENCE ALIXAN TGV,46
VANNES,47
