source,target,weight,annee,mois,commentaire
PARIS ST LAZARE,TROUVILLE DEAUVILLE,85.4,2014,5,
PARIS VAUGIRARD,GRANVILLE,94.5,2014,5,
PARIS ST LAZARE,CHERBOURG,96.8,2014,5,
PARIS ST LAZARE,LE HAVRE,84.2,2014,5,
CERBERE,PARIS AUSTERLITZ,93.2,2014,5,
GRANVILLE,PARIS VAUGIRARD,94.0,2014,5,
NANTES,BORDEAUX ST JEAN,93.7,2014,5,
CLERMONT FERRAND,BÉZIERS,95.1,2014,5,
CLERMONT FERRAND,NÎMES,90.8,2014,5,
PARIS NORD,MAUBEUGE,92.9,2014,5,
BOURGES,PARIS AUSTERLITZ,82.1,2014,9,
CHERBOURG,PARIS ST LAZARE,88.8,2014,10,
NANTES,BORDEAUX ST JEAN,84.5,2014,10,
CLERMONT FERRAND,BÉZIERS,92.6,2014,10,
NICE,BORDEAUX ST JEAN,75.6,2014,9,
LYON PART DIEU,NANTES,93.5,2014,10,
AMIENS,PARIS NORD,74.3,2014,10,
BELFORT,PARIS EST,84.7,2014,10,
TROYES,PARIS EST,91.7,2014,9,
TOULOUSE MATABIAU,HENDAYE,72.9,2014,8,
PARIS AUSTERLITZ,BOURGES,89.7,2014,8,
ORLÉANS,PARIS AUSTERLITZ,74.4,2014,7,
BORDEAUX ST JEAN,NICE,78.1,2014,8,
PARIS ST LAZARE,ROUEN,84.2,2014,7,
CLERMONT FERRAND,BÉZIERS,87.1,2014,8,
NICE,BORDEAUX ST JEAN,76.9,2014,7,
PARIS NORD,BOULOGNE,95.6,2014,8,
BÉZIERS,CLERMONT FERRAND,93.5,2014,7,
TROYES,PARIS EST,91.8,2014,7,
PARIS AUSTERLITZ,BOURGES,87.3,2014,2,
PARIS ST LAZARE,LE HAVRE,93.2,2014,3,
CLERMONT FERRAND,PARIS BERCY,86.9,2014,2,
BORDEAUX ST JEAN,LIMOGES,96.8,2014,3,
BOULOGNE,PARIS NORD,91.4,2014,2,
AMIENS,PARIS NORD,84.0,2014,3,
NANTES,LYON PART DIEU,87.5,2014,2,
PARIS EST,TROYES,90.0,2014,2,
CAEN,TOURS,89.6,2014,3,
LIMOGES,BORDEAUX ST JEAN,100.0,2014,2,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,89.7,2014,4,
TOULOUSE MATABIAU,HENDAYE,94.2,2014,4,
HENDAYE,TOULOUSE MATABIAU,92.5,2014,4,
CHERBOURG,PARIS ST LAZARE,93.7,2014,4,
NANTES,BORDEAUX ST JEAN,88.4,2014,4,
ROUEN,PARIS ST LAZARE,93.7,2014,4,
NICE,BORDEAUX ST JEAN,79.4,2014,4,
LYON PART DIEU,NANTES,94.8,2014,4,
PARIS BERCY,NEVERS,87.7,2014,4,
PARIS EST,TROYES,93.3,2014,4,
TOULOUSE MATABIAU,HENDAYE,97.1,2014,5,
PARIS AUSTERLITZ,BOURGES,88.5,2014,5,
BORDEAUX ST JEAN,NANTES,76.0,2014,6,
HENDAYE,TOULOUSE MATABIAU,86.1,2014,6,
BORDEAUX ST JEAN,LIMOGES,92.3,2014,6,
CLERMONT FERRAND,NÎMES,95.0,2014,6,
LYON PART DIEU,NANTES,88.3,2014,6,
PARIS NORD,BOULOGNE,89.6,2014,5,
PARIS NORD,AMIENS,79.7,2014,6,
TOURS,CAEN,79.1,2014,6,
PARIS ST LAZARE,TROUVILLE DEAUVILLE,86.1,2014,2,
PARIS VAUGIRARD,GRANVILLE,91.9,2014,2,
BOURGES,PARIS AUSTERLITZ,84.8,2014,2,
PARIS ST LAZARE,ROUEN,90.1,2014,2,
TOURS,PARIS AUSTERLITZ,87.1,2014,1,
PARIS BERCY,CLERMONT FERRAND,94.4,2014,1,
CLERMONT FERRAND,NÎMES,92.9,2014,2,
MAUBEUGE,PARIS NORD,92.0,2014,2,
NANTES,LYON PART DIEU,88.2,2014,1,
NÎMES,CLERMONT FERRAND,100.0,2014,1,
PARIS AUSTERLITZ,CERBERE,88.5,2014,9,
PARIS ST LAZARE,LE HAVRE,92.6,2014,9,
CLERMONT FERRAND,PARIS BERCY,92.1,2014,9,
CERBERE,PARIS AUSTERLITZ,89.6,2014,9,
TOURS,PARIS AUSTERLITZ,80.2,2014,9,
PARIS BERCY,CLERMONT FERRAND,95.2,2014,9,
CHERBOURG,PARIS ST LAZARE,92.6,2014,9,
MAUBEUGE,PARIS NORD,87.4,2014,9,
PARIS EST,TROYES,93.2,2014,9,
TOURS,CAEN,91.9,2014,8,
TROUVILLE DEAUVILLE,PARIS ST LAZARE,94.9,2014,3,
PARIS ST LAZARE,ROUEN,94.5,2014,3,
BOURGES,PARIS AUSTERLITZ,83.9,2014,4,
TOURS,PARIS AUSTERLITZ,86.2,2014,3,
PARIS ST LAZARE,CAEN,90.5,2014,3,
PARIS BERCY,CLERMONT FERRAND,93.5,2014,3,
CLERMONT FERRAND,NÎMES,90.0,2014,4,
PARIS NORD,MAUBEUGE,94.0,2014,3,
PARIS EST,TROYES,89.2,2014,3,
BÉZIERS,CLERMONT FERRAND,100.0,2014,4,
PARIS AUSTERLITZ,CERBERE,84.2,2014,6,
PARIS VAUGIRARD,GRANVILLE,84.0,2014,7,
PARIS ST LAZARE,CHERBOURG,87.0,2014,6,
