source,target,weight,annee,mois,commentaire
TOULOUSE MATABIAU,PARIS MONTPARNASSE,89.0,2015,2,"Cette destination a été touchée par 6 incidents externes dont deux survenus sur la Ligne à Grande Vitesse : un accident de personne à Rouvray le 7/02 (19 TGV retardés de 30min à 4h04), un autre le 18/02 près de Paris (26 TGV retardés de 12 à 48min) & à Marmande le 26/02 (2 TGV de 1h51 & 1h54); le heurt d’un chevreuil à Dollon le 01/02 retarde 33 TGV (11min à 2h34), celui d’un sanglier le 20/02 vers Angoulême touche 5 TGV (14min à 4h) & les intempéries sur la région Midi-Pyrénées le 3/02 touche 3 TGV (28min à 1h06). Par ailleurs, un dérangement lié à une autre entreprise ferroviaire de transport de marchandises le 4/02 au Nord de Poitiers ralentit 6 TGV (13 à 54min), un autre à Massy  le 11/02 touche 16 TGV (11 à 38min) & on compte également deux incidents caténaires les 16 & 18/02 : le premier sur la Ligne à Grande Vitesse (37 TGV de 16min à 1h41) & le second à Massy-Verrières en région parisienne (22 TGV de 13min à 3h37). Enfin une défaillance de Matériel à Massy le 19/02 pénalise 16 TGV (15min & 1h47)."
VANNES,PARIS MONTPARNASSE,90.7,2015,2,"Cette ligne a été touchée par un incident majeur le 13/02 : un problème caténaire à Laval retarde 83 TGV de 7min à 5h59. On compte également 4 incidents externes dont deux survenus sur la Ligne à Grande Vitesse : un accident de personne à Rouvray le 7/02 (19 TGV retardés de 30min à 4h04), un à Questembert le 14/02 (3 TGV 16min & 1h50) & un autre le 18/02 près de Paris (26 TGV retardés de 12 à 48min) ; le heurt d’un chevreuil à Dollon le 01/02 retarde 33 TGV (11min à 2h34). Par ailleurs, un dérangement des installations à Massy  le 11/02 touche 16 TGV (11 à 38min) & on compte également deux incidents caténaires les 16 & 18/02 : le premier sur la Ligne à Grande Vitesse (37 TGV de 16min à 1h41) & le second à Massy-Verrières en région parisienne (22 TGV de 13min à 3h37). Enfin une défaillance de Matériel à Massy le 19/02 pénalise 16 TGV (15min & 1h47)."
LA ROCHELLE VILLE,PARIS MONTPARNASSE,94.1,2015,3,"Cette OD a été touchée par les événements suivants:  un heurt de chevreuil sur la ligne grande vitesse à Vendôme le 2 (28 TGV; de 13' à 58'), un accident de personne à Poitiers le 8 (6 TGV; de 2h06 à 3h28), un feu de traverses à l'entrée de Paris Montparnasse le 14 (6 TGV; 12' à 33') ainsi que la divagation d'un chien sur la ligne grande vitesse à St Arnoult le 31 (13 TGV; de 12' à 36'). On compte par ailleurs 4 dérangements d'installations sur la ligne grande vitesse les 1, 2, 16 et 23 touchant jusqu'à 7 trains par jour avec des retards allant de 12' à 1h05 ainsi qu'un dérangement à Lusignan le 19 (3 TGV; de 12' à 1h38) et un autre au niveau de  Poitiers le 23 (6 TGV; 18' à 2h10). Par ailleurs, des limitations inopinées de vitesse entre Poitiers et Niort ont touché tous les trains du 29 au 31."
ST PIERRE DES CORPS,PARIS MONTPARNASSE,84.3,2015,2,
LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,94.9,2015,3,
LYON PART DIEU,MARSEILLE ST CHARLES,84.2,2015,3,
ST MALO,PARIS MONTPARNASSE,90.1,2015,2,
LAVAL,PARIS MONTPARNASSE,94.2,2015,3,
BREST,PARIS MONTPARNASSE,94.4,2015,3,
PARIS NORD,DOUAI,91.5,2015,2,
BREST,PARIS MONTPARNASSE,96.8,2015,4,"Cette ligne a été touchée notamment par des causes externes: un accident  de personne à Cesson-Sévigné près de Rennes le 04-04 (7 TGV retardés pour 583min), en région parisienne le 05/04  (7 TGV retardés pour 333min) mais également un colis suspect en gare de Paris Montparnasse le 08/04 (8 TGV touchés pour 119min), un incendie aux abords des voies à Port Brillet (Laval) le 13/04 (3 TGV retardés pour 77min) & le heurt d'une biche à Voutré - entre Le Mans & Laval - le 23/04 avec 5 TGV retardés pour 151min.  Des dérangements des installations ont également entraîné des retards notamment sur l'ensemble de la Ligne à Grande Vitesse le 07-04 (12 circulations impactées pour 150min), à Laval le 28/04 (9 TGV retardés pour 302min) & à Rennes le 29/04 (16 TGV impactés pour 314min). Par ailleurs, la panne d'un train assurant les travaux à St Pierre-la-Cour - entre Laval & Rennes- le 09-04 a retardé 9 TGV pour 361min."
VANNES,PARIS MONTPARNASSE,92.6,2015,3,"Cette OD a été touchée par les événements suivants:  un heurt de chevreuil sur la ligne grande vitesse le 2 (28 TGV; de 13' à 58'), 2 accidents de personne à Vannes le 6 (6 TGV; de 13' à 1h51) et à Cesson le 26 (11 TGV; 12' à 2h24'), un feu de traverses à l'entrée de Paris Montparnasse le 14 (6 TGV; 12' à 33'), un incendie aux abords des voies vers Laval le 23  (7 TGV; 22' à 2h05) ainsi que la divagation d'un chien sur la ligne grande vitesse à St Arnoult le 31 (13 TGV; de 12' à 36'). On compte par ailleurs 4 dérangements d'installations sur la ligne grande vitesse les 1, 2, 16 et 23 touchant jusqu'à 7 trains par jour avec des retards allant de 12' à 1h05 et un incident caténaire le 22 vers Redon (9 TGV; de 12' à 80')."
ST PIERRE DES CORPS,PARIS MONTPARNASSE,92.0,2015,3,
PARIS MONTPARNASSE,ST PIERRE DES CORPS,95.0,2015,3,
SAINT ETIENNE CHATEAUCREUX,PARIS LYON,94.1,2015,3,
POITIERS,PARIS MONTPARNASSE,92.5,2015,3,
AIX EN PROVENCE TGV,PARIS LYON,88.4,2015,4,
DIJON VILLE,PARIS LYON,93.8,2015,4,
PARIS NORD,DUNKERQUE,93.5,2015,3,
STRASBOURG,NANTES,92.7,2015,3,
PARIS MONTPARNASSE,ST MALO,95.1,2015,3,"Cette OD a été touchée par les événements suivants:  un heurt de chevreuil sur la ligne grande vitesse à Vendôme le 2 (28 TGV; de 13' à 58'), un accident de personne à Cesson le 26 (11 TGV; 12' à 2h24'), un feu de traverses à l'entrée de Paris Montparnasse le 14 (6 TGV; 12' à 33'), un incendie aux abords des voies vers Laval le 23  (7 TGV; 22' à 2h05) ainsi que la divagation d'un chien sur la ligne grande vitesse à St Arnoult le 31 (13 TGV; de 12' à 36'). On compte par ailleurs 4 dérangements d'installations sur la ligne grande vitesse les 1, 2, 16 et 23 touchant jusqu'à 7 trains par jour avec des retards allant de 12' à 1h05."
PARIS LYON,MARSEILLE ST CHARLES,95.4,2015,3,
PARIS MONTPARNASSE,LE MANS,92.1,2015,3,
NANTES,PARIS MONTPARNASSE,92.5,2015,3,
PARIS LYON,BELLEGARDE (AIN),93.6,2015,3,
PARIS MONTPARNASSE,LAVAL,95.0,2015,3,
MULHOUSE VILLE,PARIS LYON,96.6,2015,3,
NICE VILLE,PARIS LYON,82.1,2015,3,
MONTPELLIER,PARIS LYON,85.7,2015,3,
NIMES,PARIS LYON,83.5,2015,3,
PARIS MONTPARNASSE,TOULOUSE MATABIAU,92.9,2015,2,
PARIS LYON,MARSEILLE ST CHARLES,94.9,2015,2,
PARIS LYON,AIX EN PROVENCE TGV,95.0,2015,2,
PARIS LYON,VALENCE ALIXAN TGV,93.2,2015,2,
PARIS LYON,MACON LOCHE,94.9,2015,2,
PARIS LYON,DIJON VILLE,95.1,2015,2,
PARIS LYON,AVIGNON TGV,93.9,2015,2,
PARIS LYON,TOULON,93.4,2015,2,
PARIS LYON,ANNECY,93.1,2015,2,
NIMES,PARIS LYON,89.6,2015,2,
BESANCON FRANCHE COMTE TGV,PARIS LYON,99.1,2015,5,
ANGOULEME,PARIS MONTPARNASSE,95.9,2015,5,
PARIS MONTPARNASSE,VANNES,96.3,2015,4,
AVIGNON TGV,PARIS LYON,82.0,2015,5,
PARIS NORD,DUNKERQUE,92.9,2015,4,
PARIS NORD,LILLE,94.0,2015,4,
DIJON VILLE,PARIS LYON,92.1,2015,2,De fortes chutes de neige dans le Jura ont provoqué des retards importants sur certains TGV Lausanne-Paris
QUIMPER,PARIS MONTPARNASSE,94.8,2015,1,
PARIS MONTPARNASSE,NANTES,91.9,2015,1,
BELLEGARDE (AIN),PARIS LYON,80.7,2015,2,
LYON PART DIEU,PARIS LYON,92.3,2015,2,
TOURS,PARIS MONTPARNASSE,86.8,2015,1,
MACON LOCHE,PARIS LYON,88.4,2015,2,
LILLE,LYON PART DIEU,89.6,2015,2,
ANNECY,PARIS LYON,88.6,2015,2,
LILLE,PARIS NORD,91.9,2015,2,
LILLE,LYON PART DIEU,91.4,2015,4,"Les principaux évènements survenus au mois d'avril sont :
2 accidents de personne : Marne la Vallée et Choisy le Roi le 05
Heurt d'animaux  : Fresnoy le 14
Des colis suspects à Roissy les 01 et 30
Défaut d'alimentation à Cesseins le 07
Plusieurs dérangement d'installations : Oignies le 03, Montanay le 08 et Sathonay le 24
Des travaux importants sur la LGV  entrainant des limitations de vitesse, essentiellement à Ressons"
GRENOBLE,PARIS LYON,95.0,2015,4,3 heurts d'animaux sur ligne à grande vitesse et un accident de personne au Vert de Maisons ont généré des retards importants en Avril
PARIS LYON,NICE VILLE,66.8,2015,4,Des travaux de modernisation de l'infrastructure ont perturbé la régularité de cette relation en Avril.
PARIS MONTPARNASSE,ST MALO,98.0,2015,4,
PARIS LYON,BELLEGARDE (AIN),90.8,2015,4,
LYON PART DIEU,RENNES,80.0,2015,4,
MONTPELLIER,PARIS LYON,84.9,2015,4,
NIMES,PARIS LYON,81.1,2015,4,
PARIS EST,REIMS,95.7,2015,4,
BREST,PARIS MONTPARNASSE,94.8,2015,5,"Cette ligne a été retardée par : un accident de personne à Yvre-l'Evêque le 14/05 (15 TGV soit 1456 minutes), une disjonction sur la LGV le 25/05 (6 TGV soit 87 minutes), heurt d'un animal sur la LGV le 12/05 (30 TGV soit 1799 minutes) et heurt d'une voiture le 06/05 à Vitré (18 TGV soit 1704 minutes)"
LAVAL,PARIS MONTPARNASSE,96.2,2015,5,"Cette ligne a été retardée par : un accident de personne à Yvre-l'Evêque le 14/05 (15 TGV soit 1456 minutes), une disjonction sur la LGV le 25/05 (6 TGV soit 87 minutes), heurt d'un animal sur la LGV le 12/05 (30 TGV soit 1799 minutes) et heurt d'une voiture le 06/05 à Vitré (18 TGV soit 1704 minutes)"
MARSEILLE ST CHARLES,LYON PART DIEU,73.2,2015,5,
LE MANS,PARIS MONTPARNASSE,89.7,2015,5,
LYON PART DIEU,PARIS LYON,89.4,2015,5,
LILLE,PARIS NORD,93.6,2015,5,
NANCY,PARIS EST,97.1,2015,5,
BREST,PARIS MONTPARNASSE,97.4,2011,9,
PARIS MONTPARNASSE,BREST,93.8,2011,9,
PARIS MONTPARNASSE,LAVAL,90.1,2011,9,
LILLE,LYON PART DIEU,91.4,2011,9,
PARIS NORD,ARRAS,64.1,2013,3,"Importantes chutes de neige avec formation de congères survenues à partir du 11 mars dans la soirée jusqu'au 15 mars. Elles ont imposé des limitations de vitesse pour éviter les projections de glace, allant même jusqu’à immobiliser presque complètement le trafic le mardi 12 mars. Les conditions climatiques difficiles de ces derniers mois ont par ailleurs perturbé les différents programmes travaux sur les voies prolongeant ainsi certaines limitations de vitesse au-delà des délais prévus. notamment sur Arras."
LYON PART DIEU,MONTPELLIER,85.2,2013,4,"Malgré un temps de parcours relativement court entre ces deux gares, l'essentiel des trains assurant cette desserte sont origine de l'ouest ou du Nord de la France et ont donc parcouru une très longue distance et souvent déjà accumulé du retard avant même d'assurer cette desserte située en fin de parcours du train."
TOULON,PARIS LYON,89.0,2013,3,La journée du 12 mars a été très perturbée par les intempéries (neige et pluies verglassantes) entrainant de nombreux et importants retards avoisinants les 2 heures.
LILLE,MARSEILLE ST CHARLES,77.7,2013,4,Nombreux accidents de personnes et incidents d'installations techniques et électriques) répartis sur l'ensemble du parcours.
DUNKERQUE,PARIS NORD,89.4,2013,4,Nombreux accidents de personnes et incidents d'installations techniques et électriques) répartis sur l'ensemble du parcours.
LE CREUSOT MONTCEAU MONTCHANIN,PARIS LYON,87.4,2013,4,
TOURS,PARIS MONTPARNASSE,84.4,2013,3,
PARIS LYON,AVIGNON TGV,91.2,2013,3,
PARIS LYON,TOULON,83.9,2013,3,
STRASBOURG,PARIS EST,86.2,2013,3,
